Block;Date_C_O;Date_C_A;Date;Generation;Rack;Row;Column;Treatment;Line;Fruit_s;Nb_eggs;Obs_O;Nb_adults;Obs_A;Comment;Recount_Nb_eggs;Obs_recount_eggs;Acariens;Nb_adults_dead;Recount_Nb_adults;Obs_recount_adults
;;29//12//2017;29/12/2017;12;A;9;4;Strawberry;FRB;Strawberry;;;21;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;10;4;Strawberry;FRB;Strawberry;;;39;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;1;5;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;2;5;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;3;5;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;4;5;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;5;5;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;6;5;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;7;5;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;8;5;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;9;5;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;10;5;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;1;6;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;2;6;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;3;6;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;4;6;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;5;6;Strawberry;FRB;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;1;7;Cranberry;CRC;Cranberry;;;25;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;2;7;Cranberry;CRC;Cranberry;;;34;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;3;7;Cranberry;CRC;Cranberry;;;37;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;4;7;Cranberry;CRC;Cranberry;;;31;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;5;7;Cranberry;CRC;Cranberry;;;36;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;6;7;Cranberry;CRC;Cranberry;;;21;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;7;7;Cranberry;CRC;Cranberry;;;23;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;8;7;Cranberry;CRC;Cranberry;;;2;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;9;7;Cranberry;CRC;Cranberry;;;16;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;10;7;Cranberry;CRC;Cranberry;;;22;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;1;8;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;2;8;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;3;8;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;4;8;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;5;8;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;6;8;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;7;8;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;8;8;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;9;8;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;10;8;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;1;9;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;2;9;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;3;9;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;4;9;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;A;5;9;Cranberry;CRC;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;1;1;Cranberry;CRA;Cranberry;;;27;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;2;1;Cranberry;CRA;Cranberry;;;41;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;3;1;Cranberry;CRA;Cranberry;;;22;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;4;1;Cranberry;CRA;Cranberry;;;37;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;5;1;Cranberry;CRA;Cranberry;;;31;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;6;1;Cranberry;CRA;Cranberry;;;11;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;7;1;Cranberry;CRA;Cranberry;;;27;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;8;1;Cranberry;CRA;Cranberry;;;27;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;9;1;Cranberry;CRA;Cranberry;;;49;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;10;1;Cranberry;CRA;Cranberry;;;31;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;1;2;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;2;2;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;3;2;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;4;2;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;5;2;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;6;2;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;7;2;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;8;2;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;9;2;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;10;2;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;1;3;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;2;3;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;3;3;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;4;3;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;5;3;Cranberry;CRA;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;1;4;Cherry;CEB;Cherry;;;21;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;2;4;Cherry;CEB;Cherry;;;19;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;3;4;Cherry;CEB;Cherry;;;40;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;4;4;Cherry;CEB;Cherry;;;23;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;5;4;Cherry;CEB;Cherry;;;8;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;6;4;Cherry;CEB;Cherry;;;8;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;7;4;Cherry;CEB;Cherry;;;40;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;8;4;Cherry;CEB;Cherry;;;18;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;9;4;Cherry;CEB;Cherry;;;12;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;10;4;Cherry;CEB;Cherry;;;24;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;1;5;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;2;5;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;3;5;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;4;5;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;5;5;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;6;5;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;7;5;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;8;5;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;9;5;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;10;5;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;1;6;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;2;6;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;3;6;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;4;6;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;5;6;Cherry;CEB;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;1;7;Cranberry;CRE;Cranberry;;;18;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;2;7;Cranberry;CRE;Cranberry;;;15;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;3;7;Cranberry;CRE;Cranberry;;;57;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;4;7;Cranberry;CRE;Cranberry;;;14;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;5;7;Cranberry;CRE;Cranberry;;;27;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;6;7;Cranberry;CRE;Cranberry;;;38;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;7;7;Cranberry;CRE;Cranberry;;;16;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;8;7;Cranberry;CRE;Cranberry;;;23;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;9;7;Cranberry;CRE;Cranberry;;;34;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;10;7;Cranberry;CRE;Cranberry;;;42;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;1;8;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;2;8;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;3;8;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;4;8;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;5;8;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;6;8;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;7;8;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;8;8;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;9;8;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;10;8;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;1;9;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;2;9;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;3;9;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;4;9;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;B;5;9;Cranberry;CRE;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;1;1;Strawberry;FRA;Strawberry;;;24;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;2;1;Strawberry;FRA;Strawberry;;;6;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;3;1;Strawberry;FRA;Strawberry;;;10;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;4;1;Strawberry;FRA;Strawberry;;;21;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;5;1;Strawberry;FRA;Strawberry;;;28;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;6;1;Strawberry;FRA;Strawberry;;;13;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;7;1;Strawberry;FRA;Strawberry;;;13;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;8;1;Strawberry;FRA;Strawberry;;;28;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;9;1;Strawberry;FRA;Strawberry;;;14;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;10;1;Strawberry;FRA;Strawberry;;;37;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;1;2;Strawberry;FRA;Strawberry;;;26;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;2;2;Strawberry;FRA;Strawberry;;;39;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;3;2;Strawberry;FRA;Strawberry;;;8;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;4;2;Strawberry;FRA;Strawberry;;;14;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;5;2;Strawberry;FRA;Strawberry;;;26;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;6;2;Strawberry;FRA;Strawberry;;;28;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;7;2;Strawberry;FRA;Strawberry;;;22;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;8;2;Strawberry;FRA;Strawberry;;;28;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;9;2;Strawberry;FRA;Strawberry;;;37;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;10;2;Strawberry;FRA;Strawberry;;;18;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;1;3;Strawberry;FRA;Strawberry;;;13;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;2;3;Strawberry;FRA;Strawberry;;;26;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;3;3;Strawberry;FRA;Strawberry;;;18;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;4;3;Strawberry;FRA;Strawberry;;;26;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;5;3;Strawberry;FRA;Strawberry;;;23;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;1;4;Cranberry;CRB;Cranberry;;;11;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;2;4;Cranberry;CRB;Cranberry;;;38;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;3;4;Cranberry;CRB;Cranberry;;;42;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;4;4;Cranberry;CRB;Cranberry;;;18;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;5;4;Cranberry;CRB;Cranberry;;;17;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;6;4;Cranberry;CRB;Cranberry;;;24;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;7;4;Cranberry;CRB;Cranberry;;;21;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;8;4;Cranberry;CRB;Cranberry;;;19;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;9;4;Cranberry;CRB;Cranberry;;;34;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;10;4;Cranberry;CRB;Cranberry;;;30;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;1;5;Cranberry;CRB;Cranberry;;;25;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;2;5;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;3;5;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;4;5;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;5;5;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;6;5;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;7;5;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;8;5;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;9;5;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;10;5;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;1;6;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;2;6;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;3;6;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;4;6;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;5;6;Cranberry;CRB;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;1;7;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;2;7;Cherry;CEC;Cherry;;;14;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;3;7;Cherry;CEC;Cherry;;;11;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;4;7;Cherry;CEC;Cherry;;;20;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;5;7;Cherry;CEC;Cherry;;;15;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;6;7;Cherry;CEC;Cherry;;;9;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;7;7;Cherry;CEC;Cherry;;;0;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;8;7;Cherry;CEC;Cherry;;;28;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;9;7;Cherry;CEC;Cherry;;;36;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;10;7;Cherry;CEC;Cherry;;;63;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;1;8;Cherry;CEC;Cherry;;;12;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;2;8;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;3;8;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;4;8;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;5;8;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;6;8;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;7;8;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;8;8;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;9;8;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;10;8;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;1;9;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;2;9;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;3;9;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;4;9;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;C;5;9;Cherry;CEC;Cherry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;1;1;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;2;1;Cranberry;CRD;Cranberry;;;30;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;3;1;Cranberry;CRD;Cranberry;;;33;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;4;1;Cranberry;CRD;Cranberry;;;17;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;5;1;Cranberry;CRD;Cranberry;;;33;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;6;1;Cranberry;CRD;Cranberry;;;40;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;7;1;Cranberry;CRD;Cranberry;;;28;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;8;1;Cranberry;CRD;Cranberry;;;25;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;9;1;Cranberry;CRD;Cranberry;;;26;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;10;1;Cranberry;CRD;Cranberry;;;24;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;1;2;Cranberry;CRD;Cranberry;;;40;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;2;2;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;3;2;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;4;2;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;5;2;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;6;2;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;7;2;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;8;2;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;9;2;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;10;2;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;1;3;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;2;3;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;3;3;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;4;3;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;5;3;Cranberry;CRD;Cranberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;1;4;Strawberry;FRC;Strawberry;;;NA;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;2;4;Strawberry;FRC;Strawberry;;;29;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;3;4;Strawberry;FRC;Strawberry;;;35;AA;;;;;;;
;;29//12//2017;29/12/2017;12;D;4;4;Strawberry;FRC;Strawberry;;;20;AA;;;;;;;
